id,type,slug,name,description,parentIds,status,visibility,location,itemType,tags,seo_title,seo_description,seo_keywords,featuredImage,Related
barton-springs-pool,item,barton-springs-pool,Barton Springs Pool,Natural spring-fed swimming pool located in Zilker Park.,swimming,published,public,"Austin, Texas",attraction,swimming|nature|outdoor,Barton Springs Pool Austin,Famous natural swimming pool in Austin Texas.,Barton Springs,Austin swimming,/images/barton-springs.jpg
lady-bird-lake,item,lady-bird-lake,Lady Bird Lake,"Popular lake for kayaking, paddleboarding, and trails.",outdoor,published,public,"Austin, Texas",attraction,lake|kayak|trail,Lady Bird Lake Austin,Lake in downtown Austin popular for recreation.,Lady Bird Lake,Austin lake,/images/lady-bird-lake.jpg
terry-blacks-bbq,item,terry-blacks-bbq,Terry Black's BBQ,Popular Austin BBQ restaurant known for brisket.,bbq,published,public,"Austin, Texas",restaurant,bbq|texas|food,Terry Blacks BBQ Austin,Famous BBQ restaurant in Austin.,Austin BBQ,/images/terry-blacks.jpg,franklin-bbq
franklin-bbq,item,franklin-bbq,Franklin BBQ,Famous Austin BBQ spot with long lines.,bbq,published,public,"Austin, Texas",restaurant,bbq|brisket,Franklin BBQ Austin,Legendary Texas BBQ restaurant.,Franklin BBQ,/images/franklin.jpg,terry-blacks-bbq
joes-coffee,item,joes-coffee,Jo's Coffee,Popular coffee shop on South Congress.,coffee,published,public,"Austin, Texas",coffee shop,coffee|cafe,Joes Coffee Austin,South Congress coffee shop.,Austin coffee,/images/joes-coffee.jpg,
zilker-botanical-garden,item,zilker-botanical-garden,Zilker Botanical Garden,Botanical gardens located inside Zilker Park.,attractions,published,public,"Austin, Texas",attraction,garden|nature,Zilker Botanical Garden,Botanical garden in Austin Texas.,Austin gardens,/images/botanical.jpg,zilker-park
mount-bonnell,item,mount-bonnell,Mount Bonnell,Scenic overlook with views of Austin.,outdoor,published,public,"Austin, Texas",attraction,scenic|view,Mount Bonnell Austin,Scenic viewpoint in Austin.,Austin views,/images/mount-bonnell.jpg,
butler-pitch-putt,item,butler-pitch-putt,Butler Pitch & Putt,Historic 9-hole golf course near downtown Austin.,things-to-do,published,public,"Austin, Texas",recreation,golf|outdoor,Butler Pitch and Putt,Austin short golf course.,Austin golf,/images/butler.jpg,zilker-park
comedy-mothership,item,comedy-mothership,Comedy Mothership,Comedy club in downtown Austin.,comedy,published,public,"Austin, Texas",nightlife,comedy|nightlife,Comedy Mothership Austin,Austin comedy club venue.,Austin comedy,/images/comedy-mothership.jpg,
meanwhile-brewery,item,meanwhile-brewery,Meanwhile Brewing,Brewery with food trucks and live music.,breweries,published,public,"Austin, Texas",brewery,beer|music,Meanwhile Brewery Austin,Popular Austin brewery.,Austin brewery,/images/meanwhile.jpg,
trumodern-esthetics,item,trumodern-esthetics,trumodern esthetics,Esthetician,facials | waxing,published,public,"Austin, Texas",Esthetician,waxing | facial | brazilian,Esthetician Austin,Popular Austin esthetician.,Austin Esthetician,,
zilker-park,item,zilker-park,Zilker Park,"A large urban park in central Austin known for festivals, trails, and recreation.",outdoor,published,public,"Austin, Texas",urban park,park|nature|festival,Zilker Park - Austin Texas,"Zilker Park is one of Austin’s most popular parks with trails, events, and Barton Springs nearby.",Zilker Park|Austin park,/images/zilker-park.jpg,barton-springs-pool
